feature,median_train,q1_train,q3_train,iqr_train,lower_bound_train,upper_bound_train,train_missing_imputed,test_missing_imputed,train_values_clipped,test_values_clipped
Fwd IAT Total,12006.0,3.0,85400000.0,85399997.0,-256199988.0,341599991.0,0,0,0,0
 Fwd IAT Mean,6013.5,3.0,12400000.0,12399997.0,-37199988.0,49599991.0,0,0,1924,459
 Fwd IAT Std,700.7428202,0.0,33700000.0,33700000.0,-101100000.0,134800000.0,0,0,0,0
 Fwd IAT Max,11972.0,3.0,84800000.0,84799997.0,-254399988.0,339199991.0,0,0,0,0
 Fwd IAT Min,3.0,1.0,48.0,47.0,-140.0,189.0,0,0,65134,16156
Bwd IAT Total,48.0,0.0,161725.5,161725.5,-485176.5,646902.0,0,0,70956,17836
 Bwd IAT Mean,48.0,0.0,36886.5,36886.5,-110659.5,147546.0,0,0,69519,17504
 Bwd IAT Std,0.0,0.0,62628.35338,62628.35338,-187885.06014000002,250513.41352,0,0,64424,16240
 Bwd IAT Max,48.0,0.0,141137.25,141137.25,-423411.75,564549.0,0,0,70010,17605
 Bwd IAT Min,3.0,0.0,48.0,48.0,-144.0,192.0,0,0,22239,5591
Fwd PSH Flags,0.0,0.0,0.0,0.0,0.0,0.0,0,0,11215,2750
 Bwd PSH Flags,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0
 Fwd URG Flags,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0
 Bwd URG Flags,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0
 Fwd Header Length,80.0,60.0,204.0,144.0,-372.0,636.0,0,0,8202,1980
 Bwd Header Length,64.0,20.0,200.0,180.0,-520.0,740.0,0,0,5943,1419
Fwd Packets/s,20.51250494,0.09009719925,9478.672986,9478.582888800749,-28435.658569203,37914.42165240225,0,0,54321,13633
 Bwd Packets/s,0.082251265,0.0508171725,34.65899878,34.6081816075,-103.77372765,138.4835436025,0,0,58006,14448
 Min Packet Length,0.0,0.0,6.0,6.0,-18.0,24.0,0,0,84022,21156
 Max Packet Length,157.0,6.0,4344.0,4338.0,-13008.0,17358.0,0,0,7,1
 Packet Length Mean,81.39642857000001,6.0,797.7333333,791.7333333,-2369.1999999,3172.9333332,0,0,0,0
 Packet Length Std,58.0585911,0.0,1524.6826725,1524.6826725,-4574.0480175,6098.73069,0,0,0,0
 Packet Length Variance,3370.8,0.0,2324657.25225,2324657.25225,-6973971.75675,9298629.009,0,0,2394,578
FIN Flag Count,0.0,0.0,0.0,0.0,0.0,0.0,0,0,50679,12709
 SYN Flag Count,0.0,0.0,0.0,0.0,0.0,0.0,0,0,11215,2750
 RST Flag Count,0.0,0.0,0.0,0.0,0.0,0.0,0,0,100,27
 PSH Flag Count,0.0,0.0,0.0,0.0,0.0,0.0,0,0,55442,13899
 ACK Flag Count,0.0,0.0,1.0,1.0,-3.0,4.0,0,0,0,0
 URG Flag Count,0.0,0.0,0.0,0.0,0.0,0.0,0,0,18988,4711
 CWE Flag Count,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0
 ECE Flag Count,0.0,0.0,0.0,0.0,0.0,0.0,0,0,100,27
 Down/Up Ratio,0.0,0.0,1.0,1.0,-3.0,4.0,0,0,89,26
 Average Packet Size,108.5,9.0,854.6428571,845.6428571,-2527.9285713,3391.5714284,0,0,0,0
 Avg Fwd Segment Size,42.0,6.0,58.33333333,52.33333333,-150.99999999,215.33333332,0,0,7600,1944
 Avg Bwd Segment Size,127.0,0.0,1656.428571,1656.428571,-4969.285712999999,6625.714284,0,0,0,0
 Fwd Header Length.1,80.0,60.0,204.0,144.0,-372.0,636.0,0,0,8202,1980
Fwd Avg Bytes/Bulk,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0
 Fwd Avg Packets/Bulk,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0
 Fwd Avg Bulk Rate,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0
 Bwd Avg Bytes/Bulk,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0
 Bwd Avg Packets/Bulk,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0
Bwd Avg Bulk Rate,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0
Subflow Fwd Packets,3.0,2.0,7.0,5.0,-13.0,22.0,0,0,8034,1963
 Subflow Fwd Bytes,96.0,12.0,366.0,354.0,-1050.0,1428.0,0,0,16346,4158
 Subflow Bwd Packets,2.0,1.0,6.0,5.0,-14.0,21.0,0,0,7907,1895
 Subflow Bwd Bytes,250.0,0.0,11595.0,11595.0,-34785.0,46380.0,0,0,3198,756
Init_Win_bytes_forward,251.0,0.0,274.0,274.0,-822.0,1096.0,0,0,66310,16513
 Init_Win_bytes_backward,118.0,-1.0,235.0,236.0,-709.0,943.0,0,0,19925,5013
 act_data_pkt_fwd,1.0,0.0,2.0,2.0,-6.0,8.0,0,0,14926,3751
 min_seg_size_forward,32.0,20.0,32.0,12.0,-16.0,68.0,0,0,0,0
Active Mean,0.0,0.0,1008.0,1008.0,-3024.0,4032.0,0,0,67815,17087
 Active Std,0.0,0.0,0.0,0.0,0.0,0.0,0,0,17846,4468
 Active Max,0.0,0.0,1008.0,1008.0,-3024.0,4032.0,0,0,67817,17087
 Active Min,0.0,0.0,1008.0,1008.0,-3024.0,4032.0,0,0,67480,17000
Idle Mean,0.0,0.0,84600000.0,84600000.0,-253800000.0,338400000.0,0,0,0,0
 Idle Std,0.0,0.0,0.0,0.0,0.0,0.0,0,0,20450,5159
 Idle Max,0.0,0.0,84800000.0,84800000.0,-254400000.0,339200000.0,0,0,0,0
 Idle Min,0.0,0.0,84600000.0,84600000.0,-253800000.0,338400000.0,0,0,0,0
